x_geos,y_geos,Dust,lat,lon
1013030.62,3572161.0,1.0,35.858136,-63.229592
1011026.69,3570157.0,1.0,35.832407,-63.257827
1013030.62,3570157.0,1.0,35.832932,-63.233978
1011026.69,3568153.0,1.0,35.807216,-63.262196
866737.38,3492000.25,1.0,34.825861,-65.106089
868741.38,3492000.25,1.0,34.826283,-65.082816
-1321649.38,2303618.0,1.0,21.721828,-88.138005
-1317641.5,2303618.0,1.0,21.721209,-88.096998
-1315637.5,2303618.0,1.0,21.7209,-88.076499
-1319645.5,2301614.0,1.0,21.701083,-88.115249
-1317641.5,2301614.0,1.0,21.700774,-88.094751
-1315637.5,2301614.0,1.0,21.700466,-88.074255
-1313633.25,2301614.0,1.0,21.700158,-88.053759
-1311629.25,2301614.0,1.0,21.699851,-88.033269
-1309625.38,2301614.0,1.0,21.699544,-88.012783
-1307621.38,2301614.0,1.0,21.699238,-87.992298
-1305617.38,2301614.0,1.0,21.698932,-87.971816
-1303613.12,2301614.0,1.0,21.698627,-87.951334
-1301609.25,2301614.0,1.0,21.698322,-87.930859
-1319645.5,2299610.0,1.0,21.680652,-88.113001
-1317641.5,2299610.0,1.0,21.680343,-88.092506
-1315637.5,2299610.0,1.0,21.680035,-88.072014
-1313633.25,2299610.0,1.0,21.679728,-88.051522
-1311629.25,2299610.0,1.0,21.679421,-88.031035
-1337681.62,2293598.0,1.0,21.622174,-88.290753
-1335677.75,2293598.0,1.0,21.621862,-88.270246
-1445898.5,2271553.75,1.0,21.415204,-89.375542
-1445898.5,2269549.75,1.0,21.394815,-89.373106
850705.12,2007023.62,1.0,18.694748,-66.803517
852709.62,2007023.62,1.0,18.694909,-66.783987
854713.62,2007023.62,1.0,18.695069,-66.76446
856717.56,2007023.62,1.0,18.695231,-66.744932
858721.56,2007023.62,1.0,18.695392,-66.725402
870745.31,2007023.62,1.0,18.69637,-66.608192
872749.31,2007023.62,1.0,18.696534,-66.588651
874753.81,2007023.62,1.0,18.696699,-66.569103
850705.12,2005019.38,1.0,18.674981,-66.804662
852709.62,2005019.38,1.0,18.675141,-66.785135
854713.62,2005019.38,1.0,18.675302,-66.765611
856717.56,2005019.38,1.0,18.675463,-66.746086
868741.38,2005019.38,1.0,18.676437,-66.628901
870745.31,2005019.38,1.0,18.676601,-66.609365
872749.31,2005019.38,1.0,18.676765,-66.589827
874753.81,2005019.38,1.0,18.676929,-66.570282
848701.19,2003015.38,1.0,18.65506,-66.825323
850705.12,2003015.38,1.0,18.655219,-66.805806
852709.62,2003015.38,1.0,18.655379,-66.786281
866737.38,2003015.38,1.0,18.65651,-66.649602
868741.38,2003015.38,1.0,18.656674,-66.630069
870745.31,2003015.38,1.0,18.656837,-66.610536
872749.31,2003015.38,1.0,18.657001,-66.591001
