x_geos,y_geos,Smoke,lat,lon
-2788590.0,4540101.5,1.0,53.5706,-131.153877
-2792598.25,4538097.5,1.0,53.540215,-131.21988
-2790594.0,4538097.5,1.0,53.528787,-131.122572
-2788590.0,4538097.5,1.0,53.517435,-131.025824
-2792598.25,4536093.0,1.0,53.487053,-131.091597
-2790594.0,4536093.0,1.0,53.475748,-130.995159
-2788590.0,4536093.0,1.0,53.464517,-130.899267
-2824662.5,4500021.0,1.0,52.729734,-130.407752
-2822658.5,4500021.0,1.0,52.719331,-130.317396
-2820654.5,4500021.0,1.0,52.708988,-130.227486
-2818650.25,4500021.0,1.0,52.698704,-130.138005
-2828670.5,4498017.5,1.0,52.700115,-130.47382
-2826666.5,4498017.5,1.0,52.689689,-130.383264
-2824662.5,4498017.5,1.0,52.679323,-130.293156
-2822658.5,4498017.5,1.0,52.669018,-130.203492
-2820654.5,4498017.5,1.0,52.658772,-130.114264
-2834682.5,4496013.5,1.0,52.681058,-130.631305
-2832678.5,4496013.5,1.0,52.670546,-130.540086
-2830674.5,4496013.5,1.0,52.660096,-130.449326
-2826666.5,4496013.5,1.0,52.639379,-130.269158
-2824662.5,4496013.5,1.0,52.629111,-130.179737
-2822658.5,4496013.5,1.0,52.618901,-130.090749
-2838690.5,4494009.0,1.0,52.651563,-130.697978
-2836686.5,4494009.0,1.0,52.641026,-130.606551
-2834682.5,4494009.0,1.0,52.630553,-130.515586
-2832678.5,4494009.0,1.0,52.62014,-130.425076
-2824662.5,4494009.0,1.0,52.579092,-130.067467
-2822658.5,4494009.0,1.0,52.568976,-129.97914
-2842698.75,4492005.0,1.0,52.622144,-130.764925
-2840694.75,4492005.0,1.0,52.611583,-130.673286
-2838690.5,4492005.0,1.0,52.601084,-130.582101
-2836686.5,4492005.0,1.0,52.590648,-130.491387
-2834682.5,4492005.0,1.0,52.580273,-130.401125
-2832678.5,4492005.0,1.0,52.569959,-130.311309
-2826666.5,4492005.0,1.0,52.53937,-130.044473
-2824662.5,4492005.0,1.0,52.529289,-129.956377
-2846706.75,4490001.0,1.0,52.592786,-130.832095
-2844702.75,4490001.0,1.0,52.5822,-130.740241
-2842698.75,4490001.0,1.0,52.571678,-130.648857
-2840694.75,4490001.0,1.0,52.561218,-130.557935
-2838690.5,4490001.0,1.0,52.550818,-130.467458
-2836686.5,4490001.0,1.0,52.540481,-130.377441
-2834682.5,4490001.0,1.0,52.530203,-130.287866
-2832678.5,4490001.0,1.0,52.519984,-130.198728
-2830674.5,4490001.0,1.0,52.509824,-130.110019
-2828670.5,4490001.0,1.0,52.499721,-130.021735
-2826666.5,4490001.0,1.0,52.489675,-129.933868
-2824662.5,4490001.0,1.0,52.479685,-129.846414
-2848710.75,4487997.0,1.0,52.55288,-130.807431
-2846706.75,4487997.0,1.0,52.542333,-130.715833
-2844702.75,4487997.0,1.0,52.531848,-130.624701
-2842698.75,4487997.0,1.0,52.521426,-130.534028
-2840694.75,4487997.0,1.0,52.511065,-130.443807
-2838690.5,4487997.0,1.0,52.500763,-130.354021
-2836686.5,4487997.0,1.0,52.490521,-130.264685
-2834682.5,4487997.0,1.0,52.480338,-130.175782
-2832678.5,4487997.0,1.0,52.470213,-130.087306
-2830674.5,4487997.0,1.0,52.460145,-129.999251
-2828670.5,4487997.0,1.0,52.450134,-129.911611
-2826666.5,4487997.0,1.0,52.440178,-129.82438
-2824662.5,4487997.0,1.0,52.430276,-129.737553
-2850714.5,4485993.0,1.0,52.513049,-130.78303
-2848710.75,4485993.0,1.0,52.502541,-130.691697
-2846706.75,4485993.0,1.0,52.492094,-130.600814
-2844702.75,4485993.0,1.0,52.481709,-130.510387
-2842698.75,4485993.0,1.0,52.471384,-130.420409
-2840694.75,4485993.0,1.0,52.46112,-130.330873
-2838690.5,4485993.0,1.0,52.450913,-130.241762
-2836686.5,4485993.0,1.0,52.440766,-130.153092
-2834682.5,4485993.0,1.0,52.430676,-130.064847
-2826666.5,4485993.0,1.0,52.390874,-129.715984
-2824662.5,4485993.0,1.0,52.38106,-129.629771
-2850714.5,4483989.0,1.0,52.462822,-130.667819
-2848710.75,4483989.0,1.0,52.452414,-130.577194
-2846706.75,4483989.0,1.0,52.442066,-130.48701
-2844702.75,4483989.0,1.0,52.431778,-130.397272
-2842698.75,4483989.0,1.0,52.421549,-130.307973
-2840694.75,4483989.0,1.0,52.411379,-130.219107
-2838690.5,4483989.0,1.0,52.401266,-130.130657
-2822658.5,4483989.0,1.0,52.322356,-129.437815
-2852718.5,4481985.0,1.0,52.42318,-130.644219
-2850714.5,4481985.0,1.0,52.412807,-130.553827
-2848710.75,4481985.0,1.0,52.402497,-130.463895
-2846706.75,4481985.0,1.0,52.392245,-130.374394
-2844702.75,4481985.0,1.0,52.382052,-130.285329
-2842698.75,4481985.0,1.0,52.371917,-130.196694
-2840694.75,4481985.0,1.0,52.361839,-130.108483
-2822658.5,4481985.0,1.0,52.273597,-129.332706
-2852718.5,4479981.0,1.0,52.373275,-130.530732
-2850714.5,4479981.0,1.0,52.362999,-130.441027
-2848710.75,4479981.0,1.0,52.352784,-130.351772
-2846706.75,4479981.0,1.0,52.342626,-130.262939
-2854722.75,4477977.0,1.0,52.333817,-130.507907
-2852718.5,4477977.0,1.0,52.323576,-130.418426
-2862739.0,4473968.5,1.0,52.275621,-130.64231
-2860734.75,4473968.5,1.0,52.265332,-130.552413
-2834682.5,4473968.5,1.0,52.136729,-129.421991
-2832678.5,4473968.5,1.0,52.127206,-129.337771
-2866747.0,4471965.0,1.0,52.246633,-130.709893
-2864743.0,4471965.0,1.0,52.23632,-130.619796
-2862739.0,4471965.0,1.0,52.226067,-130.530145
-2840694.75,4471965.0,1.0,52.117022,-129.571658
-2838690.5,4471965.0,1.0,52.107429,-129.486883
-2836686.5,4471965.0,1.0,52.097887,-129.402492
-2834682.5,4471965.0,1.0,52.088395,-129.318469
-2832678.5,4471965.0,1.0,52.078952,-129.234808
-2830674.5,4471965.0,1.0,52.069558,-129.151506
-2826666.5,4471965.0,1.0,52.050913,-128.98596
-2824662.5,4471965.0,1.0,52.041662,-128.903706
-2822658.5,4471965.0,1.0,52.032456,-128.821794
-2868750.75,4469961.0,1.0,52.207353,-130.687358
-2866747.0,4469961.0,1.0,52.197077,-130.597508
-2844702.75,4469961.0,1.0,52.087788,-129.6369
-2842698.75,4469961.0,1.0,52.078175,-129.55196
-2840694.75,4469961.0,1.0,52.068613,-129.467395
-2838690.5,4469961.0,1.0,52.0591,-129.38319
-2836686.5,4469961.0,1.0,52.049638,-129.29936
-2834682.5,4469961.0,1.0,52.040224,-129.215892
-2832678.5,4469961.0,1.0,52.030859,-129.132779
-2830674.5,4469961.0,1.0,52.021542,-129.050019
-2828670.5,4469961.0,1.0,52.012272,-128.967605
-2826666.5,4469961.0,1.0,52.003049,-128.885535
